"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Fbxo2",1.20979046624236e-279,3.86451434985006,0.328,0.061,4.91344299959673e-275,31
"Fosb",4.49485454155574e-258,3.41783117267449,0.526,0.163,1.82554022350745e-253,31
"Klf2",4.53785986768577e-254,3.87827572069647,0.392,0.092,1.8430064066619e-249,31
"Cpne8",2.23652858811417e-248,3.12540569628993,0.339,0.069,9.08343720776689e-244,31
"Nfatc2",1.95697582145464e-234,3.54475882702188,0.348,0.077,7.94806160125589e-230,31
"Cebpd",2.43694448324191e-224,4.13796482218184,0.251,0.043,9.89740632423867e-220,31
"Fos",6.55782693670736e-217,3.37417001024223,0.713,0.372,2.66339583207433e-212,31
"Gem",3.2224916654378e-215,3.63570157114651,0.264,0.048,1.30878276500091e-210,31
"Cebpb",8.41122133189832e-215,3.51595824690893,0.255,0.046,3.41613343173718e-210,31
"Klf4",4.44372942288173e-204,3.38053930429204,0.352,0.087,1.80477626780919e-199,31
"Junb",6.37870535731807e-194,3.38898651591145,0.459,0.156,2.59064739382116e-189,31
"Tmsb10",6.73900660004038e-189,1.48002660021544,0.99,0.918,2.7369801405404e-184,32
"Stmn3",1.68289986376712e-154,1.35693587153964,0.957,0.823,6.83492950670379e-150,32
"Bex2",1.06254095630315e-140,1.34233358430919,0.932,0.889,4.31540383992961e-136,32
"Gm1673",1.15396881237461e-128,1.27873181566741,0.889,0.87,4.68672893457822e-124,32
"Tubb2a",2.72380139920351e-120,1.37429463770136,0.913,0.785,1.10624470027251e-115,32
"Pcsk1n",3.36924017982894e-119,1.30960672222227,0.901,0.783,1.36838320663572e-114,32
"Gap43",4.67230887976105e-107,1.47996726893984,0.873,0.633,1.89761152842615e-102,32
"Atp5md",2.34970669350649e-93,1.29997662409901,0.811,0.81,9.54309876500726e-89,32
"Ly6h",2.89806664175264e-84,1.23041501056399,0.849,0.781,1.17702078588142e-79,32
"Uchl1",5.89935190744278e-83,1.19345767139397,0.889,0.816,2.39596278368881e-78,32
"Fxyd6",1.80415674748181e-82,1.38164034953598,0.798,0.738,7.32740221422261e-78,32
"Ubb",1.34004739581286e-70,1.19495596286849,0.965,0.948,5.44246849335435e-66,32
"Cnih2",5.75654359697724e-70,1.60982965270403,0.688,0.578,2.33796261647634e-65,32
"Gng3",1.22611160685565e-66,1.3761708348764,0.722,0.612,4.97972968008355e-62,32
"Rab3a",3.36480468088584e-64,1.49367688290481,0.68,0.587,1.36658177309497e-59,32
"mt-Co1",1.16526927162939e-61,1.20510839632047,0.882,0.918,4.73262461979561e-57,32
"Bex1",1.82916224837309e-60,1.577679176059,0.684,0.621,7.42895955554248e-56,32
"Atp5k",5.05815739289242e-55,1.29006495466425,0.695,0.727,2.05432004354933e-50,32
"Map1lc3a",1.27179206138623e-53,1.2421552924745,0.72,0.738,5.16525627811403e-49,32
"mt-Atp6",2.26081576654828e-42,1.64535793691765,0.757,0.809,9.18207715425919e-38,32
"Atp5l",7.2436721087635e-38,1.20365815484264,0.677,0.752,2.94194499025321e-33,32
"Ndufa5",5.27060252228767e-36,1.36359286371581,0.615,0.663,2.14060250840191e-31,32
"Rnf227",6.01364730387051e-30,1.62422716498314,0.568,0.523,2.44238271599397e-25,32
"Rac3",1.69636061152963e-28,1.85940284514697,0.482,0.391,6.88959898766642e-24,32
"Caly",1.66710196769804e-25,1.67198311425543,0.479,0.395,6.77076793160882e-21,32
"Nap1l5",1.75682523121868e-25,1.27437337399546,0.609,0.607,7.13516999407156e-21,32
"mt-Co3",4.41114326771817e-24,1.68511306998423,0.626,0.665,1.79154172675106e-19,32
"Zcchc12",2.05647913757023e-23,1.3800627949534,0.507,0.427,8.35218436932772e-19,32
"Hap1",5.69301672820108e-21,1.27344809509982,0.555,0.523,2.31216181399159e-16,32
"Ttc9b",1.78137340192906e-18,1.51098168724463,0.486,0.465,7.23486993459469e-14,32
"Serp2",1.6312768293949e-17,1.64831535167542,0.472,0.444,6.62526771490443e-13,32
"Bex4",4.87515013774468e-16,1.32352922432326,0.526,0.581,1.97999347694363e-11,32
"Fxyd7",1.12254945279857e-15,1.93104216428439,0.316,0.228,4.55912234759612e-11,32
"Fabp3",1.16621015636536e-15,1.89800982908086,0.362,0.29,4.73644592906228e-11,32
"Pcp4",3.35855686680745e-15,1.71309404148337,0.388,0.308,1.36404428588518e-10,32
"Ndufb2",8.76474539708569e-15,1.24225556478608,0.533,0.61,3.55971369557238e-10,32
"Resp18",3.06461891412463e-14,1.61864635172071,0.413,0.359,1.24466432578258e-09,32
"C1qtnf4",1.64618771448132e-13,1.31730306767893,0.463,0.431,6.68582678359443e-09,32
"mt-Co2",7.48223096970851e-13,1.6291220229294,0.564,0.623,3.03883328603741e-08,32
"Trappc2l",1.34162157928716e-10,1.22551255241782,0.485,0.542,5.44886188211687e-06,32
"Sec61g",1.95124292251667e-10,1.34963139707529,0.525,0.608,7.9247780055092e-06,32
"Camk2n2",4.07302485415864e-09,1.64006691406906,0.386,0.382,0.000165421831426799,32
"Enho",2.39885014529612e-08,1.3238410544486,0.45,0.482,0.000974268998010565,32
"Hcfc1r1",5.99153808127195e-07,1.46200518077536,0.405,0.429,0.0243340327632779,32
"Cd200",2.15192416029543e-06,1.20506284800722,0.421,0.44,0.0873982478462385,32
"Tspyl4",3.83454033984799e-05,1.24639967604601,0.456,0.52,1,32
"Scg2",0.000182711547468034,1.25734027452311,0.261,0.231,1,32
"Grcc10",0.00562318231116883,1.28825913495636,0.367,0.42,1,32
"Smim18",0.00601516405112112,1.49253301316752,0.262,0.263,1,32
"Ccl27a",0.00652032113765142,1.3049726266,0.359,0.41,1,32
"Epha3",0,3.70853515996987,0.757,0.195,0,33
"Neurod6",0,7.59110806644431,0.547,0.012,0,33
"Foxg1",0,2.94145692756377,0.66,0.144,0,33
"Neurod2",0,6.80823408409223,0.532,0.026,0,33
"Tbr1",0,5.98249447696918,0.513,0.011,0,33
"Cntn2",0,4.27090132763228,0.513,0.07,0,33
"Prdm8",0,4.41641854007477,0.34,0.034,0,33
"Emx1",0,7.48097834961913,0.278,0.003,0,33
"Aff3",6.22394134154103e-261,2.48159448860387,0.932,0.537,2.52779153645347e-256,33
"Sorbs2",4.46325953562107e-231,2.25442717558723,0.955,0.7,1.81270822779714e-226,33
"Nrn1",3.64819499081985e-230,2.4343398664701,0.513,0.11,1.48167791357157e-225,33
"Ntng2",1.4413822720422e-214,3.69883087517366,0.309,0.047,5.8540299596722e-210,33
"3110039M20Rik",1.56882720880367e-201,2.74144952029502,0.346,0.058,6.37163482583521e-197,33
"Ccser1",1.35666163648689e-195,2.26217864282807,0.964,0.693,5.50994557042785e-191,33
"Neurod1",1.43247078423864e-194,2.73848666693814,0.461,0.106,5.81783684310681e-190,33
"Cabp1",1.2782276723795e-177,3.70235705269862,0.29,0.049,5.1913938686021e-173,33
"Tiam2",7.21318746849491e-173,3.65016947811293,0.377,0.083,2.92956395845452e-168,33
"Sstr2",8.0789472512821e-170,3.72998601712206,0.28,0.047,3.28118363663571e-165,33
"Scrt2",3.55150309487738e-168,2.79845686896962,0.421,0.1,1.4424074669535e-163,33
"Cdon",2.29077965178923e-166,3.01937016385881,0.351,0.072,9.30377247777678e-162,33
"Frmd4b",2.05606225132778e-163,2.25789999991305,0.746,0.357,8.35049122754264e-159,33
"Plxna4",2.88675277532191e-159,3.04404464581355,0.649,0.282,1.17242577216924e-154,33
"9130024F11Rik",3.04575991070516e-159,2.81065703573167,0.325,0.063,1.23700493013379e-154,33
"Efnb2",6.54880875134992e-158,2.77823365398606,0.429,0.11,2.65973318627326e-153,33
"Bcl11b",7.03417388201555e-156,2.36825778654295,0.649,0.26,2.8568593804418e-151,33
"Nkain3",5.49438063651371e-155,2.27499240098664,0.828,0.468,2.23148775171368e-150,33
"Bhlhe22",6.12599359510565e-154,3.21690867230076,0.291,0.054,2.48801103871621e-149,33
"Clvs1",6.50107392621088e-152,2.30185875899827,0.675,0.278,2.64034616439129e-147,33
"Robo2",9.07941561360924e-148,2.53665574866555,0.759,0.422,3.68751385731126e-143,33
"Plxna2",3.20468393420333e-147,2.7352295892965,0.621,0.253,1.30155033303734e-142,33
"Rnd2",3.3589028298649e-139,3.38796545250278,0.571,0.24,1.36418479532133e-134,33
"Zbtb18",4.88150308130287e-129,2.82741302804094,0.489,0.171,1.98257366144035e-124,33
"Id2",3.19279508299254e-128,3.06186110429741,0.581,0.25,1.29672179500659e-123,33
"Ppp1r14a",1.91749772524712e-127,2.33479942526371,0.296,0.063,7.78772526131867e-123,33
"Wnt7b",9.4080495825844e-124,2.38791344282105,0.382,0.103,3.82098525747083e-119,33
"Ndst3",1.20136224092763e-113,2.63297992113998,0.343,0.09,4.87921260530347e-109,33
"Epha5",1.90676704417842e-111,2.43606611617775,0.739,0.49,7.74414367322622e-107,33
"Tmem178",1.21269012557884e-99,2.4437625401527,0.45,0.163,4.92521967602588e-95,33
"Chst8",4.21737218850057e-94,3.00807619367742,0.351,0.108,1.71284354063762e-89,33
"Mn1",1.60440706196502e-86,2.17043758266053,0.469,0.198,6.51613884146473e-82,33
"Znrf2",5.30000543314258e-86,2.29397215804516,0.432,0.172,2.15254420661653e-81,33
"Ebf1",1.03491941499154e-79,2.84068096152974,0.345,0.114,4.20322171204665e-75,33
"Nfib",3.27005802861617e-73,2.35744792637571,0.667,0.502,1.32810136774217e-68,33
"Dpy19l1",7.8440999588238e-73,2.56127588301534,0.375,0.149,3.1858027572767e-68,33
"Cdh12",1.5547346433209e-70,2.3733940325783,0.285,0.089,6.3143992803835e-66,33
"Fam49a",2.54238840052342e-66,2.33655497329263,0.393,0.171,1.03256562498858e-61,33
"A730020E08Rik",4.1155292793984e-64,2.26673120623353,0.256,0.078,1.67148106153486e-59,33
"Kcnq3",5.28458637408677e-61,2.17638641208751,0.547,0.322,2.1462819099716e-56,33
"Mdga1",8.05352250293578e-52,2.23094019911743,0.332,0.139,3.27085762934234e-47,33
"Sim1",2.1548737701252e-27,2.36194652248352,0.28,0.144,8.75180432998647e-23,33
"Laptm5",0,11.7214043832354,0.535,0.002,0,34
"Fcer1g",0,10.7361975795495,0.524,0.003,0,34
"C1qc",0,13.5398847428693,0.506,0.001,0,34
"C1qa",0,13.6973704594175,0.506,0.001,0,34
"Fcrls",0,13.717548162383,0.503,0,0,34
"C1qb",0,13.7598494437287,0.503,0.001,0,34
"Tyrobp",0,13.1481867669283,0.503,0.001,0,34
"Ly86",0,11.9762005276607,0.494,0.001,0,34
"Csf1r",0,11.8958504009504,0.494,0.002,0,34
"Ctss",0,11.9795669108749,0.491,0.001,0,34
"Cfh",0,13.0696039821544,0.488,0,0,34
"Fcgr3",0,11.4997022633982,0.488,0.001,0,34
"Trem2",0,13.6557688393292,0.482,0,0,34
"Aif1",0,11.0206637433285,0.482,0.001,0,34
"Ccl3",0,14.5257753939462,0.468,0,0,34
"Spi1",0,11.4491138203957,0.468,0.001,0,34
"Cd86",0,13.8363874246286,0.45,0,0,34
"Ccl4",0,14.7505152886522,0.444,0.001,0,34
"C3ar1",0,11.5407498234439,0.438,0.001,0,34
"Lyz2",0,11.8369732749874,0.438,0.001,0,34
"Rasgrp3",0,10.5746780575134,0.429,0.001,0,34
"Mpeg1",0,11.1714560908368,0.426,0,0,34
"Rac2",0,11.2490875117541,0.409,0,0,34
"Cd300c2",0,12.3772573884673,0.4,0,0,34
"Mir142hg",0,12.8038733040551,0.397,0,0,34
"Ltc4s",0,11.1192514076496,0.394,0,0,34
"Cd84",0,10.6163351687376,0.391,0.001,0,34
"Col3a1",0,11.5099470827907,0.382,0,0,34
"Siglech",0,12.3098588566857,0.382,0,0,34
"Fcgr1",0,11.3598722276534,0.379,0,0,34
"Ighm",0,13.3568482123563,0.374,0,0,34
"Cd33",0,12.4513833412196,0.365,0,0,34
"Bcl2a1b",0,14.0836601531895,0.35,0,0,34
"Bin2",0,11.5351483021043,0.35,0,0,34
"Klhl6",0,12.0356369228169,0.344,0,0,34
"Ccl12",0,14.3179866836443,0.335,0,0,34
"Ccl2",0,10.4470908219264,0.329,0.001,0,34
"Vav1",0,11.9029288386282,0.326,0,0,34
"C5ar1",0,12.3758820091528,0.315,0,0,34
"Il1a",0,13.2430785535193,0.309,0,0,34
"Nlrp3",0,11.3233524430939,0.297,0,0,34
"Ms4a6d",0,11.9168691618442,0.276,0,0,34
"Ccrl2",0,11.8045978766876,0.274,0,0,34
"Lrrc25",0,11.2031501263475,0.271,0,0,34
"Ccl9",0,12.5693324164137,0.271,0,0,34
"P2ry13",0,10.8689718749888,0.268,0,0,34
"Casp4",0,11.0169625480857,0.265,0,0,34
"Ccl6",0,13.2616390245132,0.259,0,0,34
"Slfn2",0,10.6342970530359,0.253,0,0,34
"Gpr84",0,10.6446241468806,0.25,0.001,0,34
"Sox14",3.34433938616228e-288,2.33217433911185,0.694,0.093,1.35826999829595e-283,35
"Chchd10",3.74961150855025e-168,1.89563665441928,0.791,0.194,1.5228672180826e-163,35
"Gpr149",2.78262624554373e-163,2.58455439392727,0.345,0.041,1.13013582336513e-158,35
"Nr5a1",1.80874969698311e-161,2.47754913029774,0.33,0.038,7.34605601932718e-157,35
"9130024F11Rik",7.18672054082715e-155,2.26679417956127,0.43,0.064,2.91881468045154e-150,35
"Gm2694",2.74168807990456e-151,1.54616205417059,0.848,0.234,1.11350919677244e-146,35
"Cbln1",9.02986717903248e-139,1.60044453608188,0.673,0.152,3.66739025609225e-134,35
"Plp1",2.97225846839711e-126,1.77376355397323,0.655,0.165,1.2071530543548e-121,35
"Nptx2",4.87624340615231e-112,1.72084044956173,0.548,0.124,1.9804374969747e-107,35
"Fezf1",1.29559926566605e-110,1.5130014169175,0.615,0.149,5.26194685757609e-106,35
"Satb2",6.76114741299321e-98,1.50353867793577,0.473,0.106,2.74597241031306e-93,35
"Rbfox1",1.29387876545468e-79,1.20728405589999,0.915,0.481,5.25495921801762e-75,35
"Tmem35a",5.03672677425119e-78,1.38716480883261,0.794,0.311,2.04561621209438e-73,35
"C130093G08Rik",1.00786123165383e-77,1.1104556959968,0.561,0.156,4.09332760623885e-73,35
"Cnr1",6.42942939958511e-74,1.28897625515905,0.727,0.265,2.6112484563475e-69,35
"Btbd11",1.64786979882628e-71,1.29433472122407,0.558,0.169,6.69265840095305e-67,35
"Nr2f2",3.46190357928793e-70,1.12400115262505,0.982,0.643,1.406017519692e-65,35
"Nup62cl",9.4654400055023e-66,1.44860717564987,0.352,0.083,3.84429380383471e-61,35
"Slit3",5.63117027288254e-64,1.58997257129616,0.473,0.143,2.28704349462851e-59,35
"Ina",1.78748844254692e-59,0.88801330192934,0.997,0.657,7.25970556056008e-55,35
"Robo2",3.57550944207157e-58,0.836882789853719,0.873,0.423,1.45215740480295e-53,35
"Prdm12",1.82968046266846e-56,1.31131009886351,0.288,0.064,7.4310642310817e-52,35
"Car10",1.08555712925538e-54,0.861744509001528,0.57,0.205,4.40888172475779e-50,35
"Shtn1",4.42169537815298e-51,0.765649563098288,0.888,0.451,1.79582736088305e-46,35
"Calb1",3.25554681118917e-50,0.774271868622197,0.573,0.207,1.32220778189637e-45,35
"Rnd3",1.70394311790337e-46,0.960455192252419,0.918,0.561,6.92039457905273e-42,35
"Vstm2a",2.73099967689175e-44,0.980082292781396,0.342,0.098,1.10916820877282e-39,35
"Lemd1",8.3460528212893e-44,0.807154080774535,0.524,0.184,3.38966589283844e-39,35
"Trim17",7.87775815518459e-43,0.928624896821557,0.491,0.175,3.19947269714667e-38,35
"Akap12",6.30088474146603e-42,0.949729624104145,0.509,0.189,2.55904132889901e-37,35
"Prkar2b",1.75888652527448e-40,0.835076370671048,0.824,0.423,7.14354173374978e-36,35
"4930483P17Rik",1.94678872291057e-40,0.99147001090778,0.452,0.157,7.90668771922898e-36,35
"Pam",2.22372540571217e-38,0.823172353573838,0.833,0.492,9.03143836275942e-34,35
"Hcn1",5.24618847116878e-38,0.790550181454573,0.388,0.132,2.13068698568049e-33,35
"Gpr176",5.95121724051878e-38,1.40175254917319,0.267,0.075,2.4170273700643e-33,35
"S100a10",1.95258614963595e-36,1.13118406187956,0.527,0.224,7.93023338813144e-32,35
"Cdc42ep3",2.08061326295494e-36,0.778568995991322,0.639,0.282,8.45020270616518e-32,35
"Pnma2",1.45983058189478e-35,0.943902018933887,0.421,0.151,5.92895592530746e-31,35
"Isyna1",2.66002182494216e-34,0.774900068420823,0.548,0.224,1.08034126398201e-29,35
"Stard9",1.03121257630205e-33,0.839303571994909,0.448,0.172,4.18816675739315e-29,35
"Pink1",1.5753341800952e-31,0.807563398383625,0.6,0.27,6.39806223903864e-27,35
"Kif26a",1.62148790712623e-31,0.868888165283517,0.388,0.142,6.58551098600248e-27,35
"Arg2",5.93790670439374e-28,0.926389259640684,0.33,0.12,2.41162142892247e-23,35
"Acer2",8.49204907659421e-27,0.797980461398137,0.348,0.13,3.44896081196797e-22,35
"Gm42853",3.2932922766094e-26,0.802854119183309,0.282,0.096,1.33753772522214e-21,35
"Rtn4r",7.10866459757388e-26,1.05344373843944,0.255,0.084,2.88711303965865e-21,35
"Zfp385b",2.72201145224307e-24,0.871752678351151,0.258,0.09,1.105517731214e-19,35
"Snca",2.81572721345394e-21,1.06406654277422,0.458,0.228,1.14357945047218e-16,35
"Gtsf2",1.53880272016697e-19,1.0366191424074,0.255,0.099,6.24969336768614e-15,35
"3010003L21Rik",5.97148681655357e-19,0.788022466432198,0.309,0.13,2.42525965567507e-14,35
"Gpr17",0,7.18375571813338,0.966,0.033,0,36
"Pllp",0,6.33794824766901,0.931,0.025,0,36
"Bcas1",0,7.81816470232598,0.96,0.058,0,36
"S100a13",0,6.42973518990667,0.96,0.063,0,36
"Fa2h",0,6.83259022147748,0.914,0.019,0,36
"Itpr2",0,5.78225822750087,0.96,0.076,0,36
"Gal3st1",0,5.75867450495025,0.914,0.034,0,36
"Sox8",0,5.57846556316958,0.931,0.056,0,36
"Ppp1r16b",0,5.5820963149382,0.931,0.062,0,36
"9630013A20Rik",0,7.67225503185523,0.879,0.01,0,36
"Lims2",0,6.32321643605683,0.897,0.046,0,36
"Myrf",0,7.06386979273809,0.856,0.011,0,36
"9530059O14Rik",0,6.05477900347861,0.937,0.108,0,36
"Neu4",0,8.94595891934481,0.816,0.004,0,36
"Bmp4",0,8.63882043520894,0.816,0.006,0,36
"Gm10863",0,5.65698319461004,0.816,0.026,0,36
"Plxnb3",0,7.2925648075241,0.787,0.009,0,36
"Cerox1",0,5.51913500824637,0.805,0.03,0,36
"Enpp6",0,10.7356379671885,0.776,0.002,0,36
"Elovl7",0,5.46908984248399,0.713,0.024,0,36
"Spsb1",0,5.46435106053409,0.644,0.021,0,36
"Gm47135",0,6.69272524080765,0.626,0.007,0,36
"Epcam",0,6.32141854607875,0.632,0.016,0,36
"Zfp488",0,6.04354979597598,0.609,0.01,0,36
"Dusp9",0,5.46506351289416,0.557,0.011,0,36
"Lgi3",0,5.8176145169119,0.557,0.017,0,36
"Fam163a",0,5.49028436368858,0.534,0.013,0,36
"Bfsp2",0,5.49300750514431,0.534,0.015,0,36
"Gm37731",0,5.70883267445839,0.517,0.007,0,36
"Cldn11",0,8.01395376689328,0.511,0.004,0,36
"Gjc3",0,5.55655200976389,0.494,0.011,0,36
"Mroh3",0,5.37518897926698,0.494,0.013,0,36
"Tmem88b",0,6.90767955057681,0.477,0.004,0,36
"Srpk3",0,6.9666443036994,0.443,0.003,0,36
"Gm15222",0,6.48118973955481,0.414,0.003,0,36
"1700047M11Rik",0,9.01002687819062,0.397,0.001,0,36
"Rinl",0,5.33152445878267,0.379,0.008,0,36
"Bcas1os2",0,6.07653928344695,0.316,0.003,0,36
"Mag",0,7.36924267161307,0.299,0.009,0,36
"Pvalb",0,6.94404055046186,0.287,0.002,0,36
"Matn1",0,8.84876055504214,0.282,0.001,0,36
"Plekhf1",0,6.27246902695029,0.276,0.003,0,36
"Pla2g4a",0,5.67182119672821,0.253,0.005,0,36
"Tns3",1.73709522575145e-300,5.50373183928134,0.948,0.124,7.05503854986695e-296,36
"Epb41l2",1.89374000070268e-293,5.51123016994107,0.954,0.127,7.69123563885386e-289,36
"Tnr",6.95184173537795e-258,5.69352451066962,0.96,0.155,2.8234210024064e-253,36
"Cnp",4.76028705956613e-251,6.07071333686375,0.96,0.157,1.93334298637219e-246,36
"E330020D12Rik",5.50455076424024e-244,5.45886277783984,0.276,0.011,2.23561824738853e-239,36
"Mbp",7.24205749758649e-233,6.49055169336823,0.897,0.137,2.94128923206978e-228,36
"Plp1",2.73916542183395e-129,5.87029262080523,0.759,0.166,1.11248464442364e-124,36
"Lrrc23",0,8.75422965453732,1,0.013,0,37
"1700012B09Rik",0,9.41836400615422,0.981,0.007,0,37
"Odf3b",0,9.62358681405723,0.968,0.004,0,37
"Tm4sf1",0,9.05714387550885,0.968,0.006,0,37
"Fam166c",0,10.580736536291,0.955,0.002,0,37
"Spag17",0,8.90159773906636,0.929,0.007,0,37
"Gm16006",0,9.73388198087381,0.923,0.003,0,37
"Nme9",0,9.10347422565736,0.917,0.003,0,37
"Lrrc71",0,9.13926938365439,0.91,0.003,0,37
"Ccdc153",0,12.4516562392377,0.904,0.001,0,37
"Tmem212",0,11.4161281605225,0.891,0.002,0,37
"Zfp474",0,8.68647781305057,0.885,0.003,0,37
"Deup1",0,10.2325085628883,0.853,0.003,0,37
"Dnah3",0,9.39881989530103,0.827,0.003,0,37
"Spata18",0,10.4798227132408,0.821,0.001,0,37
"Frmpd2",0,10.0549995828018,0.808,0.001,0,37
"1700019G24Rik",0,10.2941017041326,0.801,0.001,0,37
"Trp73",0,8.75142711713033,0.801,0.002,0,37
"Tctex1d4",0,10.9216419970132,0.744,0.001,0,37
"BC051019",0,8.6671498731866,0.731,0.002,0,37
"Ccdc192",0,9.12015458388174,0.686,0.002,0,37
"Ccdc121",0,10.1248245929178,0.635,0,0,37
"Dlx4",0,12.2999366123731,0.628,0,0,37
"Gm12144",0,8.73808547796442,0.577,0.002,0,37
"Gm17225",0,9.42644589419396,0.545,0.001,0,37
"Zp3",0,8.67604038288785,0.538,0.002,0,37
"Ccno",0,9.10455971735986,0.526,0.004,0,37
"Rp1",0,9.24560290690529,0.519,0.001,0,37
"Gm33050",0,11.0576520636619,0.5,0,0,37
"Gm38256",0,9.21466667359304,0.474,0.002,0,37
"Cdc20b",0,10.630415950882,0.449,0.003,0,37
"Scn4b",0,10.0777516146754,0.429,0,0,37
"Musk",0,9.82000727317422,0.423,0.001,0,37
"Gm12695",0,9.63204678458545,0.417,0,0,37
"Prss43",0,9.06730407560592,0.41,0.001,0,37
"Dlx4os",0,11.3932905388331,0.404,0,0,37
"Klhdc7a",0,8.7995021156478,0.404,0.001,0,37
"Mcidas",0,9.51228482067716,0.359,0.001,0,37
"Prr29",0,9.93646890027646,0.34,0,0,37
"Gm48107",0,13.534637183464,0.314,0,0,37
"Gm16160",0,10.6357946646514,0.308,0,0,37
"Fam50b",0,9.02779502349335,0.301,0,0,37
"Anxa8",0,12.9535373998841,0.301,0,0,37
"Nags",0,9.49563038969406,0.295,0,0,37
"Tekt3",0,10.8100467686248,0.295,0,0,37
"Gm12162",0,8.79072951006081,0.288,0,0,37
"Apoc3",0,9.29851797058894,0.282,0,0,37
"D730003K21Rik",0,11.0877282850879,0.276,0,0,37
"Cdhr4",0,9.58588998134187,0.256,0,0,37
"Gm47888",0,9.27145257637948,0.256,0,0,37
